Size (bp),ptc_1,ptc_2,ptc_3,ntc_1,ntc_2,ntc_3
512,11.04,4.58,10.69,4.01,9.23,7.8
512.61,11.68,5.01,10.05,2.96,8.84,6.58
513.22,10.6,5.54,9.22,2.13,7.64,5.72
513.83,6.64,5.82,8.67,2.47,7.15,4.35
514.44,6.76,5.54,8.76,3.08,7.69,2.89
515.06,8.59,4.76,9.27,2.38,8.36,3.25
515.67,10.12,4.21,9.86,0.81,8.83,5.47
516.28,10.41,4.68,10.99,-0.16,9.91,7.47
516.89,10.63,5.56,12.99,-0.16,11.5,7.86
517.5,11,5.73,14.66,0.59,11.61,7.03
518.11,10.54,5.22,14.56,1.6,9.53,6
518.72,9.74,4.62,12.93,2.06,7.52,5.33
519.33,9.34,4.83,11.3,2.01,7.59,5.33
519.94,8.27,5.44,10.85,2.19,9.39,6.16
520.56,6.6,5.96,11.47,2.33,11.16,7.58
521.17,6.44,6.43,12.62,1.66,8.02,7.87
521.78,7.95,6.49,14.27,0.28,4.72,8.81
522.39,8.85,5.63,15.91,-1,4.17,9.87
523,8.3,4.35,14.73,-1.28,6.17,9.91
523.61,7.86,3.66,12.98,-0.53,7.86,8.92
524.22,8.94,3.88,11.88,0.12,8.31,7.78
524.83,10.92,4.79,11.19,0.42,8.96,6.66
525.44,12.08,6.09,10.62,1.23,9.97,5.62
526.06,11.81,7.12,10.57,3.13,10.13,5.25
526.67,11.23,5.34,11.25,3.36,9.5,5.22
527.28,11.1,3.81,12.09,2.86,9.41,4.76
527.89,10.6,4,12.47,2.03,10.21,4.44
528.5,9.19,5.77,12.12,2.14,11,5.23
529.11,7.48,7.16,11,2.81,11.18,6.94
529.72,7.27,6.91,9.88,2.68,10.75,8.51
530.33,7.22,5.82,9.61,2.62,9.61,9.33
530.94,7.82,5.27,9.71,4.16,7.97,9.31
531.56,8.45,5.93,9.46,6.38,6.86,8.56
532.17,8.5,7.34,9,7.36,6.63,7.56
532.78,8.95,8.13,8.58,6.71,6.58,7.12
533.39,10.51,7.49,8.57,5.19,6.55,7.28
534,11.83,5.99,9.65,3.81,6.01,7.36
534.61,12.03,5.04,11.41,3.04,5.02,7.06
535.22,12.03,5.53,12.65,2.68,5.15,7.32
535.83,12.08,5.62,13.1,2.85,6.73,7.82
536.44,11.4,5.78,13.21,3.93,7.76,7.85
537.06,10.26,6.17,12.76,5.46,6.93,6.89
537.67,9.58,5.89,12.49,6.85,5.52,5.39
538.28,9.63,4.91,12.33,7.88,5.16,4.45
538.89,9.74,4.5,12.1,7.55,5.74,4.7
539.5,9.08,4.79,11.51,5.06,6.23,5.84
540.11,8.06,4.27,10.63,1.92,5.87,7.21
540.72,7.92,2.62,9.74,0.89,4.54,8.49
541.33,8.49,1.34,8.81,1.93,3.1,9.48
541.94,8.44,1.37,7.98,2.49,2.62,9.51
542.56,7.45,1.46,7.89,2.62,2.96,8.13
543.17,6.5,0.84,8.85,2.55,3.6,6.49
543.78,6.56,0.67,10.44,2.28,4.54,6.52
544.39,7.92,0.72,11.87,1.97,5.63,8.4
545,11.21,0.75,12.53,1.69,6.67,10.35
545.61,11.81,1.44,12.07,1.36,7.21,10.76
546.22,11.92,3.42,10.44,1.34,6.07,9.37
546.83,11.34,6.13,8.45,2.12,4.99,7.27
547.44,10.35,8.06,7.76,3.42,4.67,5.71
548.06,9.87,8.44,8.98,3.74,4.65,4.68
548.67,9.77,7.61,10.94,1.88,4.42,1.85
549.28,9.42,6.07,12.37,-0.57,4.34,1.49
549.89,8.98,4.24,12.59,-0.95,4.89,2.96
550.5,8.5,2.41,8.89,0.22,5.61,4.94
551.11,7.98,2.27,7.73,0.56,5.61,5.69
551.72,8.08,1.98,9.01,0.3,4.68,4.97
552.33,8.43,1.78,11.41,1.37,3.98,4.05
552.94,7.89,1.89,12.61,3.79,4.73,3.91
553.56,7.22,1.94,12.11,5.81,6.2,4.04
554.17,7.7,2.12,11.14,6.48,7,3.35
554.78,8.73,3.2,10.95,6.29,7.61,1.75
555.39,9.09,4.45,11.99,4.75,8.89,0.44
556,8.85,4.39,13.47,2.91,9.9,0.39
556.61,8.75,3.55,13.89,0.83,9.56,1.21
557.22,8.72,3.58,12.87,-0.81,8.58,2.32
557.83,8.28,4.25,11.55,-1.66,8.84,3.86
558.44,7.98,2.6,10.94,-1.66,9.45,5.58
559.06,8.35,1.84,11.18,-1.3,9.28,6.6
559.67,8.49,2.37,12.31,-1.16,8.41,6.6
560.28,7.77,3.15,13.99,-1.12,7.61,6.33
560.89,7.36,3.68,15.11,-0.2,6.8,6.74
561.5,8.15,4.43,14.72,2.13,5.36,7.66
562.11,8.29,5.01,13.52,4.52,3.92,7.94
562.72,7.63,4.73,13.32,5.39,3.58,6.39
563.33,7.46,4.47,14.38,5.36,4.42,6.92
563.94,8.05,5.47,15.09,5.7,5.83,8.56
564.56,8.17,7.13,12.05,6.1,6.95,9.74
565.17,7.54,7.99,10.05,5.73,7.22,8.83
565.78,7.2,7.71,9.69,4.71,6.8,6.3
566.39,7.55,6.18,11.07,3.93,6.1,4.28
567,8.11,5.79,12.63,4.08,5.53,3.84
567.61,8.5,5.12,12.94,4.71,5.66,4.44
568.22,8.64,4.01,12.31,4.58,6.06,5.14
568.83,8.62,2.99,11.54,3.69,5.74,5.14
569.44,8.95,2.49,10.74,3.22,5.19,4.53
570.06,9.85,2.73,10.35,4.2,5.6,4.39
570.67,10.44,3.62,10.84,4.63,6.49,5
571.28,10.14,4.5,11.43,4.8,5.57,5.53
571.89,10.12,4.72,11.24,4.4,3.97,5.62
572.5,11.1,4.48,10.74,3.3,2.52,5.53
573.11,11.77,4.47,10.64,2.13,2.19,5.59
573.72,11.11,4.88,11.18,1.59,2.65,6.34
574.33,9.85,5.14,12.43,1.83,2.9,7.59
574.94,9.27,4.82,13.47,2.5,3.3,8
575.56,9.84,4.88,12.87,2.96,4.6,6.81
576.17,10.57,5.44,11.01,2.78,6.36,4.92
576.78,10.08,6.44,9.79,2.59,7.66,4.22
577.39,10.47,7.82,10.08,3.19,7.27,5.79
578,11.72,8.99,11.01,3.85,4.58,7.07
578.61,12.17,9.26,10.13,3.44,1.46,7.43
579.22,10.87,8.34,9.49,2.36,0.32,7.78
579.83,8.76,6.7,9.67,1.31,1.08,8.56
580.44,7.33,5.57,9.93,0.11,2.33,8.89
581.06,7.41,5.64,9.66,-1.1,3.41,8.21
581.67,8.42,6.36,9.19,-1.58,4.3,7.06
582.28,9.01,7.17,8.97,-1.1,4.94,6.17
582.89,8.73,6.52,9.28,0.18,4.95,5.93
583.5,7.88,5.44,10.12,1.77,5.77,5.93
584.11,6.83,4.61,10.9,2.99,7.87,5.45
584.72,6.43,4.55,11.25,2.94,9.62,4.63
585.33,7.08,5.3,11.37,2.11,9.82,3.96
585.94,7.67,5.65,11.21,1.86,8.88,3.15
586.56,7.2,4.41,10.91,2.33,7.12,1.73
587.17,6.65,2.7,11.03,2.71,4.45,0.06
587.78,7.29,2.27,11.4,2.26,1.71,-0.74
588.39,8.21,3.18,11.26,1.06,0.34,-0.13
589,7.84,4.46,10.72,0.01,0.64,1.09
589.61,6.55,5.59,10.47,-0.23,1.59,2.29
590.22,5.54,6.76,10.14,0.03,2.42,3.8
590.83,5.01,6.51,9.29,-0.14,3.1,6.26
591.44,4.62,6.25,9.11,-1.09,3.7,5.74
592.06,5.59,6.8,12.22,-1.64,4.21,4.13
592.67,7.11,7.63,12.56,-0.57,4.45,2.4
593.28,8.64,7.58,11.88,1.26,4.07,1.8
593.89,9.73,7.39,10.8,2.07,3.57,2.43
594.5,10.04,8.33,9.29,1.66,3.79,3.21
595.11,9.6,9.26,7.99,1.05,5.73,3.65
595.72,9.33,8.57,7.62,0.91,5.97,4.04
596.33,10.3,7.05,7.77,1.07,5.62,4.74
596.94,11.93,6.17,8,1,6,5.97
597.56,12.45,6.13,8.42,1.05,7.37,7.11
598.17,11.18,7.32,9.12,1.9,8.28,6.8
598.78,9.22,8.26,10.11,2.95,8.03,5.02
599.39,8.08,9.62,10.98,2.96,7.7,3.29
600,8.34,10.37,11.18,2.46,7.73,2.22
601,9.26,9.53,11.23,2.01,7.06,1.49
601.71,9.84,8.22,11.69,1.88,5.37,1.57
602.42,9.87,8.05,11.92,1.78,3.47,3.04
603.14,9.41,8.85,11.37,1.3,1.69,5.05
603.85,8.47,9.3,10.37,0.5,0.51,5.97
604.56,7.45,8.61,9.47,-0.22,0.78,4.86
605.27,6.97,7.08,9.62,-0.46,1.89,2.6
605.99,7.12,5.58,11.09,-0.25,2.31,1.41
606.7,7.55,4.91,12.91,-0.16,1.81,2.1
607.41,7.71,6.49,13.44,-0.41,1.47,2.33
608.12,6.86,7.29,13.84,-0.68,1.89,2.25
608.83,5.16,7.79,12.82,-0.73,2.52,2.55
609.55,5.32,8.58,10.71,-0.43,2.11,3.61
610.26,7.54,9.51,9.73,0.55,1.88,4.81
610.97,8.68,10.09,11.4,2.05,2.14,5.25
611.68,7.88,10.41,14.32,2.87,2.71,4.66
612.4,6.58,10.64,15.75,2.34,3.13,3.38
613.11,6.68,10.2,15.14,1.57,3.52,2.59
613.82,8.23,8.77,14.28,1.71,4.53,3.2
614.53,9.66,7.33,14.52,2.01,5.96,4.2
615.24,10.07,6.86,15.58,1.58,6.38,4.48
615.96,9.77,7.24,16.38,1.16,5.41,4.61
616.67,9.19,9.54,16.03,1.39,4.69,5.37
617.38,8.26,10.4,14.51,1.2,5.38,6.45
618.09,6.92,10.37,12.63,1.15,6.55,6.62
618.81,5.3,10.04,11.41,1.59,7,5.23
619.52,3.94,9.92,11.61,2.92,6.86,3.64
620.23,3.92,10.2,13.04,4.79,6.99,3.72
620.94,5.53,11.09,14.11,5.46,7.32,5.26
621.65,7.34,12.05,13.39,4.01,6.72,6.67
622.37,8.49,12.28,9.32,1.94,5.11,6.36
623.08,9.54,12.13,8.74,0.85,3.97,5.28
623.79,10.36,12.03,9.91,0.55,4.11,4.79
624.5,10.13,11.33,12.03,0.84,3.76,5.09
625.22,9.11,9.6,13.32,1.89,4.26,5.43
625.93,8.64,8.32,12.83,2.54,6.21,5.42
626.64,9.15,9.69,11.35,1.76,7.82,4.93
627.35,10.41,10.45,9.72,0.7,7.58,3.86
628.06,10.63,10.29,8.32,0.71,6.13,2.67
628.78,10.64,10.45,8.1,1.57,4.41,2.18
629.49,11.08,11.06,9.56,2.85,2.69,2.86
630.2,12.06,10.81,11.23,4.08,1.24,4.73
630.91,12.68,9.54,11.14,3.92,0.12,6.87
631.63,12.29,8.86,9.57,1.91,-0.98,7.79
632.34,11.08,9.3,8.83,-0.22,-1.77,7.42
633.05,9.77,9.28,10.06,-0.36,-1.12,6.75
633.76,8.69,7.72,11.87,3.88,1.63,6.06
634.47,7.7,5.72,12.68,4.52,5.17,5.15
635.19,7.54,5.55,12.53,3.63,7.29,4.14
635.9,9.22,7.29,12.3,2.3,7.06,3.23
636.61,11.63,9.3,12.71,0.94,5.2,2.6
637.32,12.39,10.35,13.88,-0.14,3.45,2.48
638.04,11.09,9.55,14.94,-0.02,3.39,3.01
638.75,9.29,7.88,14.09,1.29,3.82,4.46
639.46,8.2,7.32,12.79,2.06,4.7,4.17
640.17,7.79,8.29,12.07,1.09,6.1,3.73
640.88,7.8,9.68,12.53,-0.55,6.96,4.04
641.6,8.28,10.72,13.61,-1.21,6.56,4.87
642.31,8.76,11.09,14.13,-0.7,5.54,5.37
643.02,8.45,10.44,13.72,-0.11,4.84,5.48
643.73,7.66,8.48,12.89,-0.48,4.34,5.84
644.45,7.33,4.19,12.14,-1.67,3.67,6.6
645.16,7.71,4.39,11.51,-2.44,3.53,7.19
645.87,9.37,5.36,11.18,-2.02,4.42,7.07
646.58,10.34,6.04,11.63,-0.71,5.36,6.3
647.29,12.16,6.79,12.72,0.79,5.7,5.57
648.01,14.4,8.15,13.35,1.57,5.83,5.26
648.72,15.39,9.69,12.72,1.04,5.34,4.9
649.43,14.55,10.34,11.28,-0.21,3.76,4.19
650.14,12.62,9.48,10,-0.82,2.51,3.55
650.86,10.56,8.14,9.1,1.95,3.3,2.85
651.57,9.23,8.03,8.21,3.09,5.42,1.57
652.28,9.24,9.29,7.14,2.61,7.17,0.55
652.99,9.96,10.09,6.22,1.35,6.5,1.19
653.71,9.92,7.25,6.38,0.23,5.55,2.85
654.42,8.72,7.2,10.6,-0.77,5.03,3.61
655.13,7.15,9.2,10.28,-1.4,5.22,3.83
655.84,6.01,10.96,8.32,-0.98,5.31,4.97
656.55,5.58,10.53,8.26,0.27,4.41,5.38
657.27,5.86,8.66,10.7,1.02,2.86,4.52
657.98,6.63,7.55,12.73,0.73,2.02,3.33
658.69,7.81,8.46,12.21,0.7,2.33,2.63
659.4,9.43,10.6,10.15,1.62,2.83,2.63
660.12,10.7,12.23,8.42,2.06,3.05,3.14
660.83,10.43,12.34,7.42,1.04,3.64,3.35
661.54,8.86,11.2,6.87,-0.12,4.61,2.64
662.25,7.19,9.82,6.82,-0.07,4.86,1.8
662.96,5.69,7.81,7.1,0.61,4.08,1.97
663.68,4.17,6.23,7.97,0.91,3.41,2.96
664.39,3.33,5.06,10.1,0.81,3.52,3.52
665.1,4.22,4.91,12.46,0.45,4.1,3.33
665.81,5,5.22,12.96,-0.33,5.5,3.3
666.53,5.39,5.72,11.8,-1.07,9.25,3.66
667.24,5.43,6.36,11.15,-1.21,7.77,3.39
667.95,5.51,6.8,11.93,-0.32,4.8,2.27
668.66,6.41,7.3,12.91,0.36,3.36,1.48
669.37,8.15,8.26,12.72,0.82,4.11,1.81
670.09,9.61,8.96,11.82,0.85,4.86,2.87
670.8,10.12,8.87,13.52,0.53,4.04,4.16
671.51,10.17,8.74,14.78,0.23,2.82,4.52
672.22,10.32,9.26,14.43,0.17,2.71,2.39
672.94,10.16,8.95,12.7,0.26,3.1,1.22
673.65,9.29,8.39,10.41,0.71,3.32,2.98
674.36,8.44,7.62,8.66,1.45,3.94,5.7
675.07,8.36,7.2,8.56,1.73,4.68,6.22
675.78,8.7,7.78,10.02,1.41,4.41,4.44
676.5,8.78,8.91,11.47,1.22,3.49,2.7
677.21,8.54,9.83,11.73,1.46,3.21,2.7
677.92,8.61,10.32,11.39,1.36,3.58,3.97
678.63,9.28,10.43,11.65,0.25,3.51,4.9
679.35,10.09,10.55,12.63,-1.08,2.65,4.72
680.06,10.7,10.72,13.3,-1.22,1.82,3.61
680.77,11.01,10.34,12.81,-0.33,1.79,2
681.48,10.93,9.1,11.48,0.26,4.1,0.75
682.19,11.03,9.04,10.61,0.29,5.41,0.92
682.91,11.87,8.68,10.92,0.43,6.07,2.42
683.62,12.54,7.84,11.18,0.53,6.06,3.95
684.33,11.98,7.03,10.32,0.08,5.12,4.67
685.04,10.4,6.76,9.58,-0.19,3.37,4.87
685.76,9.3,6.83,10.11,0.54,2.6,5
686.47,9.25,6.94,10.57,0.84,4.12,5.12
687.18,9.47,7.38,10.57,0.74,6.07,5.21
687.89,9.58,7.96,11.25,1.16,6.04,4.78
688.6,9.93,7.93,11.78,2.15,4.87,4.78
689.32,10.45,7.55,12.26,3.05,4.62,5.15
690.03,10.54,7.71,13.51,3.91,4.37,5.13
690.74,10.44,6.77,14.55,4.67,2.59,4.28
691.45,11.34,4.71,13.95,4.41,1.21,3.17
692.17,13.43,3.21,12.45,2.72,2.28,2.62
692.88,14.73,3.29,11.65,0.78,4.01,2.87
693.59,13.62,4.82,11.74,-0.08,4.14,3.57
694.3,11.43,6.9,12,-0.01,3.48,4.2
695.01,10.13,8.59,12.23,0.05,4.06,4.76
695.73,9.7,9.53,12.51,0.01,5.89,5.57
696.44,9.67,9.66,12.61,0.55,4.93,6.27
697.15,10.23,8.67,12.5,1.82,4.5,6.32
697.86,11.05,6.81,12.45,3,5.08,5.73
698.58,11.55,5.74,12.54,3.45,5.34,4.85
699.29,12.05,6.74,12.6,3.48,4.59,4.32
700,12.64,9.88,12.67,3.48,3.72,4.59
701,10.48,10.1,12.9,2.76,3.81,5.37
702.14,9.06,9.8,12.93,-0.04,4.84,6.1
703.28,8.94,9.05,12.44,0.58,5.73,6.49
704.41,9.02,8.21,12.89,1.6,5.44,6.62
705.55,8.44,7.54,14.6,2,4.2,6.72
706.69,8.12,6.85,15.89,2.1,3.66,6.54
707.83,8.92,6.42,15.81,1.55,4.77,5.97
708.97,10.15,6.72,15.09,0.33,6.34,5.93
710.1,10.63,7.51,15.01,-0.38,6.83,6.8
711.24,10.11,8.23,15.41,-0.46,6.14,7.71
712.38,9.14,8.75,15.17,-0.77,4.97,7.83
713.52,8.5,9.27,14.23,-1.01,4.08,7.24
714.66,9.09,9.75,13.4,-0.67,4.13,6.05
715.79,10.85,9.6,12.83,-0.37,5.5,4.61
716.93,12.21,9.1,12.52,-0.72,5.42,3.82
718.07,11.78,8.15,12.84,-1.28,5.03,3.97
719.21,10.02,7.55,13.43,-1.2,4.77,4.38
720.34,8.64,8.07,13.4,-0.21,4.64,4.69
721.48,8.76,8.71,12.94,1.18,4.67,5.46
722.62,9.85,8.13,12.89,2.14,5.1,6.6
723.76,10.58,7.21,13.37,2.18,5.96,6.92
724.9,10.27,7.75,13.88,1.63,6.61,6.06
726.03,9.56,9.48,13.78,1.29,6.24,5.06
727.17,9.56,10.92,12.79,1.75,5.25,4.71
728.31,10.54,11.55,11.6,2.97,4.82,4.86
729.45,12.04,10.81,11.91,3.62,5,4.92
730.59,14.19,9.77,13.56,2.34,5.52,4.22
731.72,14.39,8.66,16.15,1.48,6.63,3.09
732.86,14.22,7.66,18.26,1.4,7.74,2.7
734,14.17,7.36,18.31,1.42,7.49,3.77
735.14,14.51,8.02,16.84,1.37,5.93,4.17
736.28,14.65,8.76,14.7,1.49,4.35,3.92
737.41,14.08,8.66,11.82,1.5,3.6,2.62
738.55,13.1,7.79,9.19,1.25,6.21,1.44
739.69,11.83,7.12,8.44,1.06,8.54,1.67
740.83,10.17,7.67,9.42,0.72,9.4,2.67
741.97,8.57,9.04,10.76,-0.36,8.57,3.31
743.1,7.96,9.87,11.63,-1.5,7.21,3.86
744.24,8.83,9.23,12.23,-1.04,6.02,4.72
745.38,10.56,8.97,13.37,1.32,4.88,5.39
746.52,11.84,8.14,14.77,3.91,3.91,5.58
747.66,11.9,6.21,14.8,5.43,3.69,5.34
748.79,11.15,4.22,13.22,5.86,4.45,4.56
749.93,10.6,3.71,11.87,5.38,5.32,3.89
751.07,10.68,4.94,11.71,4.13,4.98,4.48
752.21,10.91,6.83,11.94,2.67,3.68,6.26
753.34,10.76,7.8,11.94,1.45,3.56,8.34
754.48,10.23,6.98,11.68,0.81,5.48,10.09
755.62,9.85,5.18,11,1.32,7.73,11.07
756.76,10.12,4.48,11.84,3.41,8.6,11.11
757.9,10.58,5.56,13.29,3.19,8.24,10.23
759.03,9.97,6.56,14.04,2.99,7.73,8.9
760.17,9.5,6.2,13.64,3.11,7.67,8.07
761.31,9.37,6.34,13.34,2.95,7.56,8
762.45,9.87,6.16,14.42,2.33,5.51,7.78
763.59,10.86,5.19,15.95,1.73,4.32,8.01
764.72,11.52,4.25,15.79,1.59,3.03,8.28
765.86,11.41,4.1,13.95,1.71,2.17,7.7
767,11.04,4.77,12.84,1.62,2.93,6.62
768.14,11.04,5.83,13.68,1.1,5.28,6.14
769.28,11.71,6.94,15.08,0.49,7.61,6.56
770.41,12.83,8.55,15.61,0.64,8.71,7.37
771.55,13.31,10.59,15.59,1.94,8.86,8.23
772.69,12.2,11.24,15.68,3.14,8.45,8.79
773.83,9.89,7.71,15.27,2.78,7.28,8.26
774.97,7.65,7.29,13.19,1.22,5.54,6.52
776.1,6.88,7.93,9.93,0.12,4.37,4.56
777.24,8.52,8.51,8.2,0.51,4.75,3.15
778.38,11.75,8.89,9.52,1.49,6.2,2.52
779.52,13.81,9.22,11.94,1.29,6.78,2.54
780.66,13.14,9.06,12.01,-0.15,5.37,2.9
781.79,11.87,7.99,10.76,-1.32,3.69,3.55
782.93,12.34,6.67,10.49,-1.81,3.86,4.48
784.07,13.08,6.63,11.9,-2.56,5.36,5.27
785.21,12.02,8.02,13.99,-2.61,6.97,5.54
786.34,10.28,8.8,15.07,-2.13,6.55,4.87
787.48,9.72,7.57,14.91,-0.98,5.94,4.52
788.62,9.9,6.54,14.36,0.52,6.5,4.68
789.76,9.44,8.71,14.03,1.49,8.14,5.3
790.9,9.05,10.09,14.18,0.99,9.31,5.51
792.03,9.17,9.11,14.83,-0.98,9.17,4.68
793.17,9.5,6.42,15.84,-2.65,8.25,3.55
794.31,8.9,4.01,16.71,-2.03,7.92,3.47
795.45,7.24,3.22,16.6,0.19,8.81,4.57
796.59,6.24,4.02,15.42,1.12,9.67,5.44
797.72,7.27,5.74,13.92,-0.19,8.95,5.27
798.86,9.2,7.31,12.6,-1.6,6.66,4.91
800,9.87,8.27,11.98,-1.29,4.33,5.38
801,9,9.3,12.24,-0.06,3.55,6.27
802.36,8.07,10.6,12.76,0.5,4.36,6.43
803.71,8.18,11.37,13.32,0.14,5.71,5.72
805.07,9.13,11.05,13.99,-0.36,6.57,5
806.42,9.95,10.15,14.91,-0.61,6.71,4.49
807.78,9.84,8.15,16.1,-0.89,7.07,3.85
809.14,9,5.62,17.12,-1.13,8.28,3.53
810.49,8.29,3.89,17.16,-0.77,6.75,4.47
811.85,8.18,3.7,16.69,-0.27,4.99,6.49
813.21,8.57,4.73,15.54,-2.37,4.55,7.88
814.56,9.34,6.06,13.02,-2.78,5.27,5.16
815.92,10.37,6.81,10.19,-1.23,6.1,3.44
817.27,11.37,6.61,9.11,1.03,6.04,2.39
818.63,12.01,6.05,9.95,2.25,5.32,2.03
819.99,12.02,6.42,11.16,1.9,5.44,3
821.34,10.52,9.36,11.96,0.7,6.69,4.83
822.7,9.81,9.79,12.8,-0.16,7.58,5.89
824.05,9.67,9.24,13.98,0.48,7.37,5.7
825.41,9.52,7.41,15.13,2.41,7.07,5.05
826.77,8.79,4.91,15.86,3.97,7.93,4.33
828.12,8.05,3.35,15.89,3.96,9.54,3.11
829.48,7.97,3.45,14.95,2.63,10.08,1.11
830.84,8.72,4.87,13.57,1.19,8.66,-0.73
832.19,10.18,6.28,12.94,0.42,6.44,-1.2
833.55,11.12,6.15,12.99,0,5.35,-0.55
834.9,10.62,5.15,12.39,-0.02,5.98,0.12
836.26,9.75,5.12,10.87,0.7,6.55,0.7
837.62,9.24,6.23,9.3,0.93,5.74,2.14
838.97,8.56,7.91,9.94,-0.24,5.62,4.73
840.33,8.15,8.28,10.17,-1.68,5.88,6.95
841.68,8.7,8.72,9.33,-2.17,5.54,6.98
843.04,9.44,8.79,8.24,-1.2,4.68,5.59
844.4,9.6,8.13,7.92,1,4.51,5.12
845.75,9.72,7.46,8.6,3.42,5.49,5.42
847.11,10.36,7.77,9.85,3.62,6.2,4.4
848.47,11.25,8.68,10.91,3.76,5.4,3.62
849.82,12.26,8.89,11.03,2.71,4.62,3.57
851.18,12.99,8.32,10.03,0.48,5.81,4.03
852.53,12.55,8.04,8.58,-1.23,7.98,4.22
853.89,11.44,8.19,8.06,-1.43,8.9,3.75
855.25,11.45,7.87,9.4,-0.9,8.32,3.21
856.6,13.65,5.91,11.6,-0.22,7.43,3.29
857.96,12.82,5.2,12.62,0.76,6.82,3.82
859.32,11.16,5.03,12.05,1.29,6.7,4.12
860.67,9.39,5.63,11.03,0.37,7.29,4.17
862.03,7.81,6.19,10.28,-1.22,8.12,4.74
863.38,7.18,5.8,10.15,-1.77,8.56,5.6
864.74,7.43,5.43,10.68,-0.84,9.17,5.24
866.1,7.21,6.57,11.05,0.58,9.31,3.48
867.45,6.13,8.32,11.96,1.44,8.76,1.95
868.81,5.39,8.73,14.28,1.41,7.39,1.6
870.16,5.78,7.84,16.52,0.38,5.23,1.74
871.52,6.67,6.42,17.17,-1.75,2.79,1.35
872.88,7.26,4.62,16.54,-4.07,1.31,0.4
874.23,7.65,4.42,15.39,-4.94,1.75,0.24
875.59,8.19,5.7,13.87,-4.21,3.86,2.12
876.95,8.72,6.22,12.34,-3.21,6.41,5.76
878.3,9.02,6.56,11.52,-2.7,8.03,4.51
879.66,9.17,6.96,11.66,-2.65,8.37,3.1
881.01,9.24,6.58,12.06,-1.61,8.14,2.93
882.37,9.38,5.57,11.73,0.47,7.77,3.68
883.73,9.79,5.05,10.74,1.89,7.02,4.79
885.08,10.13,5.43,10.22,1.68,5.91,5.94
886.44,9.97,5.98,10.7,0.95,5.02,6.74
887.79,9.9,6.05,11.75,0.79,4.92,6.73
889.15,10.65,5.76,12.41,0.95,5.49,5.49
890.51,11.69,5.56,11.61,0.72,5.69,3.22
891.86,11.64,5.78,9.58,-0.15,4.5,1.08
893.22,11.8,5.2,8.12,-1.37,5.33,0.13
894.58,12.36,4.26,8.23,-2.06,6.78,0.49
895.93,13.51,3.72,9.22,-1.89,7.49,1.79
897.29,14.26,3.64,10.24,-1.42,7.66,3.15
898.64,13.4,3.97,10.74,-0.75,8.38,3.32
900,11.64,4.74,10.79,0.39,9.41,2.32
901,10.53,5.41,11.39,1.57,9.89,1.69
903.06,10.45,5.77,12.04,2.21,10.16,2.21
905.12,10.7,6.27,12.07,2.15,10.68,3.07
907.19,10.45,6.57,12.04,1.36,10.57,3.66
909.25,9.8,5.62,12.96,-0.03,9.08,4.21
911.31,9.69,3.52,14.53,-1.47,7.16,4.46
913.37,10.22,1.71,15.43,-2.25,6.19,4.16
915.44,10.54,2.28,14.83,-2.03,6.46,4.05
917.5,10.51,2.93,13.05,-2.08,7.46,3.86
919.56,10.27,4.28,11.12,-2.16,8.32,3.81
921.62,9.38,6.33,9.99,-1.7,8.11,4.46
923.69,8.16,7.7,10.24,-0.35,7.29,5.67
925.75,7.45,7.47,12.02,1.25,6.99,6.91
927.81,7.29,6.27,14.16,1.63,4.79,7.64
929.87,8.12,5.44,14.79,0.44,2.74,7.58
931.94,10.37,5.69,13.85,-0.77,2.6,6.8
934,12.74,6.63,12.83,-0.8,4.16,5.99
936.06,13.86,7.6,12.25,-0.08,5.8,6.06
938.12,14.06,8.24,11.59,0.68,6.98,6.8
940.19,13.81,6.77,11.18,1.84,7.49,6.75
942.25,12.59,5.24,13.03,3.37,6.9,5.56
944.31,10.9,4.28,14.12,3.49,5.57,4.41
946.37,10.36,4.01,14.65,1.36,4.29,3.94
948.44,11.63,4.45,14.5,-1.03,3.35,4.19
950.5,13.84,5.53,13.67,-1.98,2.95,5.23
952.56,15.65,7.14,12.45,-1.88,3.37,6.26
954.62,15.81,9.3,11.48,-1.16,4.51,6.09
956.69,14.16,11.17,11.08,0.06,5.67,4.95
958.75,11.82,10.91,10.97,1.1,6.73,3.7
960.81,9.81,8.28,11.11,1.38,8.32,3.51
962.87,8.92,5.66,11.74,0.74,9.74,3.28
964.94,9.87,4.41,12.19,-1.87,9.57,3.12
967,12.45,4.54,11.53,-2.2,8.32,3.17
969.06,14.98,6.52,10.48,-1.8,7.71,3.51
971.12,15.94,7.84,10.48,-0.84,8.31,3.84
973.19,15.49,6.84,11.29,0.72,8.71,3.83
975.25,14.22,4.73,11.55,2.14,8.56,3.9
977.31,12.2,3.7,11.07,2.31,8.07,4.4
979.37,10.09,4.34,10.81,1.18,7.65,4.79
981.44,9.24,5.26,11.41,-0.29,7.17,4.75
983.5,10,5.23,13.02,-1.06,6.62,4.53
985.56,11.14,4.94,15.17,-0.61,6.75,4.15
987.62,11.67,5.48,16.84,0.55,7.61,3.5
989.69,12.07,6.39,16.24,1.02,7.57,2.82
991.75,13.91,6.56,14.45,0.06,5.9,2.23
993.81,14.35,5.05,12.38,-1.35,4.7,1.53
995.87,13.86,4.85,10.82,-1.9,5.37,1.17
997.94,12.92,5.82,10.6,-1.26,6.34,1.85
1000,12.26,7.32,11.62,0.09,6.84,3.45
